id,site_eui
75757,41.161124495043374
75758,39.486709509423136
75759,38.917699997793754
75760,40.892151490599986
75761,41.62921543921303
75762,41.27686280273464
75763,39.89162223264888
75764,41.16943206749721
75765,41.44734079453501
75766,41.69038495520914
75767,39.87723851616549
75768,39.65560309729202
75769,114.59368010894444
75770,114.71239668120694
75771,113.5215100235806
75772,115.10187202060843
75773,114.83984301403157
75774,115.00607617693579
75775,102.69631684520058
75776,104.92076358596158
75777,104.00408471654482
75778,102.07357968336372
75779,104.79907136179355
75780,104.78126446359325
75781,104.80216958444021
75782,103.10300656424413
75783,105.02318922591074
75784,105.92957526128244
75785,104.4563884437179
75786,104.26449713900543
75787,104.67641100874759
75788,104.02993352395039
75789,104.94643534674107
75790,103.94549590228841
75791,104.12262831564207
75792,104.21095688961668
75793,104.70479639620055
75794,104.85340151151398
75795,103.39495352903579
75796,101.88744920348401
75797,114.49371845149768
75798,102.66734035001829
75799,102.0097294495453
75800,104.70834324845588
75801,106.667117441287
75802,102.09195333521504
75803,105.91257425846557
75804,106.02418679650499
75805,102.44634530377492
75806,73.33220853850855
75807,74.64154451783394
75808,72.36145709790466
75809,74.60131407680336
75810,73.59795552423276
75811,44.284778461983485
75812,73.5367198396695
75813,73.79434426197568
75814,72.7303374445884
75815,72.17998430618758
75816,73.89803910896508
75817,44.99657399362272
75818,44.29408021933754
75819,73.50998505476478
75820,44.55143791878051
75821,73.82158711663996
75822,72.24709859643761
75823,73.69247926932454
75824,72.7869787459581
75825,74.27047711535057
75826,72.86976847210053
75827,39.84276389341197
75828,40.39680488147706
75829,40.883764816984424
75830,41.109760638337036
75831,114.14600794959834
75832,113.84782582977144
75833,106.42218650999573
75834,104.03748589455998
75835,104.32555379436616
75836,42.02095824401579
75837,39.46224983708363
75838,39.14734309077186
75839,40.760431413473
75840,40.36034689547881
75841,40.94241071979149
75842,39.3311992024552
75843,39.49939586105776
75844,43.1291080920123
75845,38.883761521474135
75846,40.34014996113612
75847,41.83371529862414
75848,42.5167611819846
75849,39.07784548055556
75850,39.968732847785994
75851,39.127541106595004
75852,39.47079602146257
75853,40.32996297065174
75854,40.328791739125464
75855,39.68910813037249
75856,41.18177085543685
75857,44.89062529208303
75858,43.7381879461094
75859,40.72525361077092
75860,40.72559408505181
75861,115.41072305029397
75862,39.46959755199382
75863,40.23011967985637
75864,41.18177085543685
75865,39.931768876993644
75866,41.005493794555726
75867,41.043116109285144
75868,40.53435649095867
75869,40.02311339993055
75870,39.71951220372795
75871,113.78626807978561
75872,115.43010284636252
75873,114.93345982230649
75874,121.89682619620123
75875,113.16190108809923
75876,115.00528627660411
75877,115.236822406584
75878,115.88865360787199
75879,115.77930688781973
75880,105.0826250590991
75881,105.14793900243069
75882,103.86943886012912
75883,103.27595387996759
75884,104.26417028369578
75885,103.03073248787918
75886,102.00155806680382
75887,106.78336897975582
75888,107.03958268561497
75889,102.48710162930267
75890,106.13467751014106
75891,73.20707743079399
75892,73.02736148636635
75893,73.36698585678886
75894,73.31837974844828
75895,73.24455683963492
75896,44.59574043221057
75897,44.56848887076773
75898,73.41990917901119
75899,69.08395801256668
75900,44.22843677798097
75901,44.7865149812817
75902,44.29668144284358
75903,73.81864050666034
75904,72.92455759338218
75905,44.37719680078964
75906,72.74870943678549
75907,45.34489280194961
75908,72.73748740448718
75909,71.86376541306348
75910,73.92715646946722
75911,73.33232557499375
75912,73.61457875385575
75913,73.00132201336348
75914,44.23348941630945
75915,73.32095373401184
75916,73.38849021237019
75917,44.25009094224589
75918,73.35762153883456
75919,44.37529014481663
75920,72.1980975379312
75921,73.85764524027968
75922,44.216424845350986
75923,72.17404643472878
75924,44.30131189306375
75925,39.78950510346445
75926,40.222753899276185
75927,40.98242325728228
75928,40.73864105949571
75929,41.11576399198633
75930,39.636661472143416
75931,41.29573107764607
75932,40.9434388588103
75933,39.78603226579932
75934,39.52324267969165
75935,42.83688819004607
75936,115.97442588871507
75937,114.65732386105633
75938,113.92245779214365
75939,113.81963455931333
75940,116.20446393185902
75941,112.10206682957742
75942,104.7688100077076
75943,103.13558130940709
75944,106.01888847464683
75945,104.81931322651077
75946,102.49203227666355
75947,103.95267310012967
75948,111.35994184899606
75949,102.76174180324386
75950,109.75162376059905
75951,103.23425201027004
75952,102.4451551978964
75953,107.00685629773534
75954,104.88752702344033
75955,101.34337706577834
75956,108.05121404151733
75957,77.25556177211863
75958,44.46480764274956
75959,45.41767258423374
75960,73.03011823943089
75961,73.90476370823293
75962,73.38040128782495
75963,69.12544139895094
75964,44.30535672752078
75965,73.2234746721619
75966,74.31714615725303
75967,45.99860342126814
75968,44.812513597370845
75969,44.318594367561985
75970,74.46636922508374
75971,73.2727425758371
75972,72.51635927674067
75973,44.246604485609524
75974,73.05095526542166
75975,69.10651102893317
75976,72.72660584646978
75977,39.44696045795953
75978,41.270021789044854
75979,43.6003367192606
75980,39.39574840053921
75981,39.66672507121798
75982,39.78311279939915
75983,115.35835810589231
75984,116.99399655131222
75985,120.51776916886384
75986,114.83377054428445
75987,101.88392354958815
75988,101.4779052636456
75989,103.65360401342127
75990,103.199774030482
75991,102.62255255807236
75992,103.31832717508966
75993,114.64102124438412
75994,103.43135244812109
75995,102.2066564144734
75996,119.25514231804536
75997,114.99949980525292
75998,109.05275263266257
75999,102.69271749787922
76000,118.05562023392044
76001,102.93190338618318
76002,73.81301841989224
76003,73.94265485873356
76004,72.99788213451573
76005,44.30347730949024
76006,68.37445276762205
76007,69.45679096911803
76008,69.74441002264695
76009,73.15266174261063
76010,75.0686577815385
